sf;fylke;ot;trt;gt
2521;42;288750;;
2521;34;324940;;
2521;15;215930;;
2521;18;158510;;
2521;3;782870;;
2521;11;364980;;
2521;38;312180;;
2521;54;200420;;
2521;50;423940;;
2521;46;501930;;
2521;30;901340;;
2521;21;7370;;
2521;0;;;1951249
2504;42;1939451;6000;
2504;34;1434631;4587;
2504;15;398206;2474;
2504;18;199876;;
2504;3;1943544;;
2504;11;2664053;;
2504;38;1700097;166000;
2504;54;208407;5000;
2504;50;1004061;158200;
2504;46;1879159;2500;
2504;30;3201507;171800;
2504;0;;;5777155
2525;42;1062148;88700;
2525;34;2836045;81191;
2525;15;1522769;4100;
2525;18;1510908;5508;
2525;3;5679229;86609;
2525;11;1892146;106017;
2525;38;2235418;206400;
2525;54;1785013;72000;
2525;50;4119338;38000;
2525;46;4156813;44820;
2525;30;6413428;773103;
2525;21;50850;;
2525;;;;8826464
2534;3;11684;;
2534;54;798838;3400;
2534;0;;;805908
2508;42;908268;960954;
2508;34;1692149;2380904;
2508;15;1053838;762558;
2508;18;2109081;1334797;
2508;3;1843393;2704144;
2508;11;644143;682270;
2508;38;1041701;1128973;
2508;54;685496;685979;
2508;50;2477166;1554195;
2508;46;1961207;2092507;
2508;30;4647787;8994063;
2508;0;;;7045038
2510;42;963412;33060;
2510;34;1982338;83418;
2510;15;841772;37239;
2510;18;761566;8290;
2510;3;989822;5298;
2510;11;912404;33344;
2510;38;3138512;64842;
2510;54;653445;20238;
2510;50;3186298;180120;
2510;46;1682744;14664;
2510;30;4894202;201456;
2510;21;1960;;
2510;0;1968864;;5094298
2538;42;1153945;;
2538;34;3223196;;
2538;15;1878847;;
2538;18;1438673;;
2538;3;7192386;302430;
2538;11;2736153;;
2538;38;2546921;473268;
2538;54;942646;;
2538;50;3476092;425136;
2538;46;5661929;3000;
2538;30;5529915;336132;
2538;0;;;4253662
2539;42;650850;;
2539;34;1023450;;
2539;15;285300;;
2539;18;519350;;
2539;3;430900;3600;
2539;11;383425;800;
2539;38;446600;;
2539;54;683750;5000;
2539;50;829250;5300;
2539;46;935800;3000;
2539;30;1558875;3100;
2539;21;14500;;
2539;0;;;2105122
2542;42;120075;;
2542;34;95075;;
2542;15;146525;;
2542;18;94900;;
2542;3;144125;;
2542;11;157775;;
2542;38;230750;;
2542;54;18000;;
2542;50;104725;;
2542;46;277325;;
2542;30;307625;;
2542;21;8650;;
2542;0;;;450000
2535;42;176040;;
2535;34;305775;;
2535;15;197640;;
2535;18;204525;;
2535;3;18495;;
2535;11;208845;;
2535;38;125280;;
2535;54;59839;;
2535;50;278355;;
2535;46;313808;;
2535;30;355928;;
2535;0;;;467856
2536;42;15738;;
2536;34;917512;;
2536;3;184095;;
2536;11;277661;152730;
2536;38;691533;281708;
2536;50;1764485;3127857;
2536;46;33564;;
2536;30;916759;598857;
2536;0;;;2037650
